TIME,F1,F2,F3,F4,F5,ROLL,PITCH,YAWPP
545600 ,56.3 ,66 ,75.6 ,41.9 ,22.0,-8.8 ,-51.5 ,37.1
545720 ,54.6 ,69 ,77.4 ,40.8 ,20.5,-8.5 ,-51.2 ,37.4
545810 ,50.4 ,65 ,75.6 ,40.8 ,20.5,-8.7 ,-51.4 ,37.3
545900 ,51.2 ,61 ,74.7 ,39.7 ,19.1,-8.8 ,-51.2 ,37.2
545990 ,47.8 ,57 ,74.7 ,40.8 ,19.1,-9.3 ,-51.1 ,37.1
546110 ,44.5 ,51 ,74.7 ,40.8 ,19.1,-9.8 ,-51.3 ,37.3
546200 ,44.5 ,52 ,73.8 ,38.7 ,19.1,-10.0 ,-51.6 ,37.5
546290 ,45.3 ,56 ,73.8 ,40.8 ,19.1,-10.1 ,-51.8 ,37.5
546410 ,44.5 ,58 ,73.8 ,38.7 ,19.1,-10.0 ,-52.0 ,37.5
546500 ,45.3 ,56 ,74.7 ,40.8 ,19.1,-10.4 ,-51.8 ,37.9
546590 ,56.3 ,39 ,73.8 ,39.7 ,19.1,-10.4 ,-51.7 ,38.3
546710 ,76.4 ,26 ,75.6 ,33.3 ,19.1,-9.4 ,-51.4 ,39.3
546800 ,78.1 ,23 ,74.7 ,32.2 ,22.0,-9.6 ,-51.3 ,39.6
546890 ,78.9 ,22 ,75.6 ,33.3 ,22.0,-9.7 ,-51.3 ,39.9
547010 ,78.1 ,22 ,74.7 ,33.3 ,20.5,-10.3 ,-51.5 ,40.2
547100 ,77.3 ,23 ,74.7 ,33.3 ,20.5,-10.6 ,-51.6 ,40.2
547190 ,76.4 ,22 ,74.7 ,33.3 ,20.5,-10.9 ,-51.6 ,40.1
547310 ,75.6 ,22 ,74.7 ,33.3 ,20.5,-11.1 ,-51.5 ,40.0
547400 ,73.9 ,21 ,73.8 ,33.3 ,22.0,-11.3 ,-51.6 ,40.0
547490 ,68.9 ,27 ,70.2 ,34.4 ,22.0,-11.5 ,-51.6 ,39.6
547580 ,52.1 ,32 ,69.3 ,33.3 ,22.0,-11.5 ,-51.6 ,39.9
547700 ,47.0 ,30 ,67.5 ,35.4 ,23.5,-11.9 ,-51.7 ,40.2
547790 ,47.0 ,28 ,66.6 ,35.4 ,26.4,-11.9 ,-51.9 ,40.2
547880 ,47.8 ,29 ,66.6 ,34.4 ,23.5,-11.9 ,-52.0 ,40.1
548000 ,47.8 ,29 ,64.8 ,34.4 ,25.0,-11.8 ,-52.2 ,40.1
548090 ,47.0 ,29 ,66.6 ,35.4 ,23.5,-11.8 ,-52.4 ,40.1
548180 ,48.7 ,30 ,66.6 ,36.5 ,22.0,-12.1 ,-52.5 ,40.1
548300 ,47.0 ,31 ,67.5 ,35.4 ,23.5,-12.2 ,-52.6 ,40.1
548390 ,50.4 ,37 ,70.2 ,35.4 ,22.0,-12.5 ,-52.7 ,40.0
548480 ,55.4 ,46 ,75.6 ,38.7 ,22.0,-12.7 ,-52.8 ,39.4
548600 ,56.3 ,46 ,70.2 ,41.9 ,22.0,-12.4 ,-52.4 ,38.7
548690 ,57.1 ,46 ,67.5 ,40.8 ,23.5,-12.5 ,-52.4 ,38.3
548780 ,55.4 ,44 ,68.4 ,43.0 ,23.5,-12.5 ,-52.5 ,38.3
548900 ,55.4 ,44 ,68.4 ,43.0 ,23.5,-12.7 ,-52.5 ,38.1
